date,temp_c,precip_mm,weathercode
2008-08-23,14.3,14.7,61
2008-08-24,14.700000000000001,0.0,3
2008-08-25,16.3,1.8,53
2008-08-26,17.45,0.1,51
2008-08-27,17.8,0.8,51
2008-08-28,17.7,0.6,51
2008-08-29,17.8,0.8,51
2008-08-30,16.35,0.0,3
2008-08-31,19.700000000000003,0.0,3
2008-09-01,18.0,0.1,51
2008-09-02,17.55,0.2,51
2008-09-03,14.649999999999999,6.9,61
2008-09-04,13.5,0.3,51
2008-09-05,16.65,1.4,53
2008-09-06,18.200000000000003,3.3,61
2008-09-07,16.55,0.9,53
2008-09-08,15.799999999999999,0.1,51
2008-09-09,16.15,0.0,3
2008-09-10,18.5,0.0,3
2008-09-11,18.8,0.0,3
2008-09-12,17.65,3.1,53
2008-09-13,13.2,1.5,53
2008-09-14,11.649999999999999,0.1,51
2008-09-15,11.75,0.0,3
2008-09-16,11.350000000000001,0.0,3
2008-09-17,10.65,0.1,51
2008-09-18,9.75,0.0,2
2008-09-19,9.85,0.0,3
2008-09-20,12.35,0.0,3
2008-09-21,12.0,0.6,51
2008-09-22,11.5,3.4,55
2008-09-23,10.95,7.0,61
2008-09-24,12.7,0.0,3
2008-09-25,12.15,0.0,3
2008-09-26,10.75,0.0,3
2008-09-27,11.0,0.0,2
2008-09-28,11.15,0.0,3
2008-09-29,10.600000000000001,2.9,61
2008-09-30,9.649999999999999,12.4,61
2008-10-01,11.05,11.0,61
2008-10-02,9.95,0.3,51
2008-10-03,8.95,0.0,2
2008-10-04,7.75,1.1,51
2008-10-05,9.95,12.7,61
2008-10-06,11.75,2.9,53
2008-10-07,13.2,0.0,3
2008-10-08,15.5,2.7,61
2008-10-09,11.7,0.1,51
2008-10-10,11.3,0.0,3
2008-10-11,14.05,0.0,3
2008-10-12,12.850000000000001,0.0,3
2008-10-13,14.35,0.0,3
2008-10-14,13.45,2.0,51
2008-10-15,13.2,4.9,61
2008-10-16,10.2,4.2,61
2008-10-17,8.9,0.1,51
2008-10-18,8.65,0.0,3
2008-10-19,10.4,0.0,3
2008-10-20,11.7,0.0,2
2008-10-21,11.8,2.0,53
2008-10-22,8.75,0.0,3
2008-10-23,8.5,0.0,2
2008-10-24,8.6,1.0,51
2008-10-25,9.85,0.0,3
2008-10-26,11.75,4.4,61
2008-10-27,8.55,12.1,61
2008-10-28,5.75,0.0,3
2008-10-29,4.1,0.0,3
2008-10-30,3.75,3.6,53
2008-10-31,4.0,1.5,51
2008-11-01,5.85,2.0,53
2008-11-02,8.8,0.1,51
2008-11-03,9.2,0.0,3
2008-11-04,8.75,0.0,3
2008-11-05,9.05,0.0,3
2008-11-06,11.15,0.0,3
2008-11-07,10.85,0.0,3
2008-11-08,9.100000000000001,0.5,51
2008-11-09,8.75,4.3,61
2008-11-10,11.45,2.8,53
2008-11-11,11.600000000000001,3.7,61
2008-11-12,8.3,0.0,1
2008-11-13,6.8,0.0,3
2008-11-14,6.6,0.1,51
2008-11-15,9.75,0.5,51
2008-11-16,7.65,0.8,51
2008-11-17,5.65,0.0,3
2008-11-18,5.5,2.9,53
2008-11-19,6.4,0.3,51
2008-11-20,7.15,8.8,53
2008-11-21,2.55,7.5,73
2008-11-22,0.35,1.3,73
2008-11-23,0.6000000000000001,1.4,73
2008-11-24,-1.5499999999999998,3.8,73
2008-11-25,-0.44999999999999996,0.0,71
2008-11-26,1.5,0.0,3
2008-11-27,4.8,0.0,3
2008-11-28,2.25,0.0,3
2008-11-29,1.3,0.9,71
2008-11-30,0.35,2.2,73
2008-12-01,1.35,0.0,3
2008-12-02,2.9000000000000004,0.3,51
2008-12-03,1.25,5.6,73
2008-12-04,2.6999999999999997,3.6,71
2008-12-05,4.25,0.5,51
2008-12-06,3.55,2.7,53
2008-12-07,4.050000000000001,0.2,51
2008-12-08,2.35,0.0,3
